date_num,date,best_ask_price,best_ask_size,best_bid_price,best_bid_size,ask_total_size,bid_total_size,ask_weighted_average_price,bid_weighted_average_price,best_mid_price,mid_weighted_average_price
1516577678.6,2018-01-21 23:34:38.600000,1225250,1000000,1225170,1000000,61200001,84400000,1226159.232012431,1221785.0710900475,1225210.0,1223972.1515512392
1516577678.8,2018-01-21 23:34:38.800000,1225240,1000000,1225170,1000000,60700001,83400000,1226166.062589027,1221745.0839328538,1225205.0,1223955.5732609404
1516577678.8,2018-01-21 23:34:38.800000,1225220,1000000,1225190,1000000,37200001,56900000,1226623.387061737,1220251.4938488577,1225205.0,1223437.4404552975
1516577678.8,2018-01-21 23:34:38.800000,1225220,1000000,1225170,1000000,37200001,56900000,1226623.387061737,1220251.1423550087,1225195.0,1223437.2647083728
1516577679.8,2018-01-21 23:34:39.800000,1225220,500000,1225170,1000000,61700001,82400000,1226150.891396582,1221703.640776699,1225195.0,1223927.2660866403
1516577679.8,2018-01-21 23:34:39.800000,1225220,500000,1225170,1000000,37700001,56400000,1226604.7745017302,1220207.0921985817,1225195.0,1223405.933350156
1516577679.8,2018-01-21 23:34:39.800000,1225220,500000,1225160,1000000,62700001,80400000,1226135.9648992668,1221618.1592039801,1225190.0,1223877.0620516236
1516577679.8,2018-01-21 23:34:39.800000,1225220,500000,1225150,1000000,62700001,80400000,1226135.9648992668,1221617.9104477612,1225185.0,1223876.937673514
1516577679.8,2018-01-21 23:34:39.800000,1225220,500000,1225140,1000000,62700001,81400000,1226135.9648992668,1221660.687960688,1225180.0,1223898.3264299775
1516577679.8,2018-01-21 23:34:39.800000,1225210,1000000,1225160,1000000,37700001,55400000,1226603.846119792,1220118.4115523465,1225185.0,1223361.1288360693
1516577679.8,2018-01-21 23:34:39.800000,1225220,1000000,1225140,1000000,62700001,81400000,1226135.486430375,1221660.687960688,1225180.0,1223898.0871955315
1516577679.8,2018-01-21 23:34:39.800000,1225210,1000000,1225150,1000000,37700001,55400000,1226603.846119792,1220118.0505415162,1225180.0,1223360.948330654
1516577679.8,2018-01-21 23:34:39.800000,1225220,500000,1225140,1000000,62700001,80400000,1226135.8054096363,1221616.6666666667,1225180.0,1223876.2360381517
1516577679.8,2018-01-21 23:34:39.800000,1225200,1000000,1225140,1000000,62700001,80400000,1226127.8309281047,1221616.6666666667,1225170.0,1223872.2487973857
1516577679.8,2018-01-21 23:34:39.800000,1225200,1000000,1225130,1000000,63700001,78400000,1226113.2652936692,1221528.1887755103,1225165.0,1223820.7270345897
1516577679.8,2018-01-21 23:34:39.800000,1225190,1000000,1225140,1000000,38700001,54400000,1226567.9586240838,1220026.2867647058,1225165.0,1223297.1226943948
1516577679.8,2018-01-21 23:34:39.800000,1225200,1000000,1225130,2000000,63700001,78400000,1226112.8728289972,1221521.1734693877,1225165.0,1223817.0231491923
1516577679.9,2018-01-21 23:34:39.900000,1225200,1000000,1225130,1000000,64700001,76400000,1226099.0726309263,1221427.4869109949,1225165.0,1223763.2797709606
1516577679.9,2018-01-21 23:34:39.900000,1225210,1000000,1225130,1000000,64700001,76400000,1226106.8006060773,1221426.832460733,1225170.0,1223766.816533405
1516577679.9,2018-01-21 23:34:39.900000,1225210,1000000,1225180,1000000,62700001,81400000,1226135.0877062983,1221664.9262899263,1225195.0,1223900.0069981124
1516577679.9,2018-01-21 23:34:39.900000,1225190,1000000,1225160,500000,37200001,57400000,1226622.446201547,1220284.4947735192,1225175.0,1223453.4704875331
1516577679.9,2018-01-21 23:34:39.900000,1225220,1000000,1225180,1000000,64200001,81900000,1226115.0311402644,1221686.8131868131,1225200.0,1223900.9221635386
1516577679.9,2018-01-21 23:34:39.900000,1225200,1000000,1225160,500000,37200001,57900000,1226622.715018744,1220334.542314335,1225180.0,1223478.6286665397
1516577679.9,2018-01-21 23:34:39.900000,1225220,1000000,1225160,500000,37200001,56900000,1226623.2526531385,1220250.0878734621,1225190.0,1223436.6702633002
1516577679.9,2018-01-21 23:34:39.900000,1225240,1000000,1225180,1000000,62200001,82900000,1226144.2925912493,1221729.312424608,1225210.0,1223936.8025079286
1516577679.9,2018-01-21 23:34:39.900000,1225220,1000000,1225110,500000,37200001,54900000,1226623.655878934,1220080.4189435337,1225165.0,1223352.0374112339
1516577679.9,2018-01-21 23:34:39.900000,1225230,1000000,1225110,500000,37200001,55400000,1226623.9246961311,1220117.057761733,1225170.0,1223370.491228932
1516577679.9,2018-01-21 23:34:39.900000,1225250,1000000,1225180,1000000,61200001,80400000,1226159.1503130859,1221624.1915422885,1225215.0,1223891.670927687
1516577679.9,2018-01-21 23:34:39.900000,1225250,2000000,1225180,1000000,62200001,79400000,1226144.5337488018,1221579.9118387909,1225215.0,1223862.2227937963
1516577679.9,2018-01-21 23:34:39.900000,1225250,2000000,1225150,1000000,62200001,79400000,1226144.3729771,1221572.9848866498,1225200.0,1223858.678931875
1516577679.9,2018-01-21 23:34:39.900000,1225230,1000000,1225170,1000000,37200001,56400000,1226623.655878934,1220206.8262411347,1225200.0,1223415.2410600344
1516577679.9,2018-01-21 23:34:39.900000,1225220,1000000,1225170,1000000,37200001,56400000,1226623.387061737,1220206.8262411347,1225195.0,1223415.1066514358
1516577679.9,2018-01-21 23:34:39.900000,1225240,1000000,1225150,1000000,62200001,80400000,1226144.2122053986,1221617.4751243782,1225195.0,1223880.8436648883
1516577679.9,2018-01-21 23:34:39.900000,1225220,1000000,1225150,1000000,62700001,78900000,1226136.3636233434,1221551.4575411915,1225185.0,1223843.9105822674
1516577679.9,2018-01-21 23:34:39.900000,1225220,500000,1225170,1000000,38200001,54900000,1226599.3455162474,1220073.4061930783,1225195.0,1223336.3758546629
1516577679.9,2018-01-21 23:34:39.900000,1225210,1000000,1225170,1000000,37700001,55400000,1226603.846119792,1220118.6823104692,1225190.0,1223361.2642151306
1516577680.0,2018-01-21 23:34:40.000000,1225210,1000000,1225150,1000000,37700001,55400000,1226603.846119792,1220118.321299639,1225180.0,1223361.0837097154
1516577680.0,2018-01-21 23:34:40.000000,1225200,1000000,1225150,1000000,37700001,55400000,1226603.5808678095,1220118.321299639,1225175.0,1223360.9510837244
1516577680.0,2018-01-21 23:34:40.000000,1225220,1000000,1225140,1000000,62700001,79400000,1226135.3269407444,1221573.2367758187,1225180.0,1223854.2818582817
1516577680.0,2018-01-21 23:34:40.000000,1225220,1000000,1225130,1000000,61700001,80400000,1226149.5948001686,1221617.2263681593,1225175.0,1223883.4105841639
1516577680.0,2018-01-21 23:34:40.000000,1225210,1000000,1225150,1000000,37700001,55400000,1226603.7134938007,1220118.321299639,1225180.0,1223361.01739672
1516577680.1,2018-01-21 23:34:40.100000,1225230,1000000,1225130,1000000,61200001,80400000,1226157.3529274943,1221617.288557214,1225180.0,1223887.3207423543
1516577680.1,2018-01-21 23:34:40.100000,1225230,1000000,1225140,1000000,62200001,79400000,1226143.0064176365,1221573.2997481108,1225185.0,1223858.1530828737
1516577680.1,2018-01-21 23:34:40.100000,1225220,1000000,1225150,1000000,37200001,55400000,1226623.2526531385,1220118.2310469314,1225185.0,1223370.7418500348
1516577680.1,2018-01-21 23:34:40.100000,1225240,1000000,1225140,1000000,62200001,79400000,1226143.1671893382,1221573.2997481108,1225190.0,1223858.2334687244
1516577680.5,2018-01-21 23:34:40.500000,1225200,1000000,1225140,1000000,61200001,79400000,1226149.7548884028,1221573.4256926952,1225170.0,1223861.590290549
1516577680.5,2018-01-21 23:34:40.500000,1225220,500000,1225150,1000000,37700001,54900000,1226604.641875739,1220073.0418943535,1225185.0,1223338.841885046
1516577680.5,2018-01-21 23:34:40.500000,1225200,1000000,1225130,1000000,62700001,79400000,1226126.3157766138,1221573.047858942,1225165.0,1223849.681817778
1516577680.5,2018-01-21 23:34:40.500000,1225200,1000000,1225150,1000000,37700001,55400000,1226603.4482418185,1220118.2310469314,1225175.0,1223360.8396443748
